"Code","Country","P_falciparum_Malaria_Incidence_Per_10k.sum","Dengue_Incidence_Per_10k.sum","Cutaneous_Leishmaniasis_Incidence_Per_10k.sum","Pasture_Mosaic_Area_ha_delta","Forest_Pasture_Mosaic_delta","area_mn_pasture_mosaic_delta","Agriculture_Area_ha_delta","Forest_Agriculture_delta","area_mn_agriculture_delta"
1304062,"Brazil",496.23865490017,587.256687820888,15.0805957884122,1383.93,22262,-0.72971458664349,-0.810000000000009,29,-1.90038461538461
1304104,"Brazil",2770.47806473909,1692.79170917845,130.638054206097,8419.5,48265,0.95463679245283,4.05,16,0.81
1304203,"Brazil",806.848497486117,694.498079940198,57.5049173324895,7650.08999999999,54472,0.28381187621189,0,0,0
1304237,"Brazil",27.6572680437733,23.1919220899547,16.2102313903592,1017.9,14065,-1.37584267298931,0,0,0
1304260,"Brazil",1662.89594335996,2.45647385220055,34.4721159438667,7112.52,51437,0.29844659708743,0,0,0
1304302,"Brazil",221.824303241736,36.1837322707978,27.196006560373,-3745.25999999999,-6180,-0.98543333333335,241.83,1050,1.17551824817518
1304401,"Brazil",2.7111780633736,36.4646384150052,5.76759633008103,-11236.05,-31955,0.15724247196516,120.96,638,1.2055421686747
1400027,"Brazil",4066.70608931444,330.510995803683,90.7423533258576,13183.2000000001,48810,0.76730851951829,3543.12000000001,974,0.66971192340908
1400050,"Brazil",6132.5510563489,193.713578178428,105.003264035467,11951.0100000001,24731,-0.4426275118889,18304.47,2306,-0.015861336926001
1400100,"Brazil",25.0439922784435,839.380756482936,85.007738600777,2923.11000000002,13430,0.64771470017036,21466.8,619,4.46099726043566
1400159,"Brazil",477.574726588604,592.941640369175,136.110922212907,17063.46,96794,-0.96150393153448,21703.14,739,5.43910944654535
1400175,"Brazil",2018.48010837547,405.642740058775,107.934040212126,22841.82,94129,-1.70944852030525,1743.84,971,-4.44861226579653
1400209,"Brazil",998.395191685989,747.779345377534,125.50751652121,62127.6299999998,284773,-0.72358743727335,1065.87,8143,2.72601023017903
1400233,"Brazil",662.254531282511,1094.86408510905,1114.09192676787,24326.0100000001,70251,-0.0647279896138002,19.5299999999999,112,1.953
1400282,"Brazil",2821.51673877535,1449.63741756588,109.192366374292,30328.56,91038,-2.5256479508871,3258.09,16018,2.29708633093525
1400308,"Brazil",1141.52304481195,393.192389828228,121.29281400255,74608.38,108579,4.2935332355817,4634.82,2118,0.0325371140844397
1400407,"Brazil",158.531437963567,102.026225639867,3.65678413851143,211.59,5340,-0.39533890086207,4287.42000000001,556,0.27504502687401
1400456,"Brazil",182.683449794009,567.775387648606,1056.4229905642,-2251.53,-5265,-0.61097914520844,4584.24,4602,0.47528393987453
1400472,"Brazil",947.481049070331,1235.50256268761,498.343905607824,31741.74,80869,0.228286643526499,431.549999999999,1748,3.03908450704225
1400506,"Brazil",1559.86444847616,582.014165141925,417.162308566434,4268.43,23951,-8.3138511451799,14.76,104,2.10857142857143
1400605,"Brazil",441.719028126033,634.62848847728,228.507903813328,3302.46,8333,-7.0798722658644,5.12999999999999,15,1.2825
1400704,"Brazil",353.064421866824,177.643182828432,161.457117817212,-567.360000000003,-184,-0.536791511489,1255.59,30,0.534887807787519
1500107,"Brazil",0.145291193707607,119.857151055487,4.04070772781117,5011.92,18865,1.65147126798134,1618.64999999999,168,11.3242761627907
1500131,"Brazil",3.97619975209516,289.413454331879,238.457221615455,-501.75,6612,-50.193830472103,1458.99,276,4.04126666666667
1500206,"Brazil",1.3772435233813,69.5310427718279,21.1311715605788,43671.1499999998,154505,2.0039953564347,9100.08,13528,2.7500046065632
1500305,"Brazil",572.058888468142,2.56610417007372,2.7850590227963,-3.78,-54,0.27,2.16,28,2.16
1500347,"Brazil",2.99394004874161,251.155930463035,63.3974729625068,7795.26000000001,8480,-22.202248027178,959.400000000001,1048,-3.35950568462679
